Data,Carga
13/02/2020 06:00,61361.751
13/02/2020 07:00,65283.436
13/02/2020 08:00,70344.711
13/02/2020 09:00,72984.159
13/02/2020 10:00,75015.703
13/02/2020 11:00,75455.258
13/02/2020 12:00,73319.92
13/02/2020 13:00,76059.797
13/02/2020 14:00,78373.291
13/02/2020 15:00,78619.556
13/02/2020 16:00,77788.987
13/02/2020 17:00,73547.642
13/02/2020 18:00,72242.159
13/02/2020 19:00,76077.014
13/02/2020 20:00,76449.114
13/02/2020 21:00,76522.378
13/02/2020 22:00,73922.306
13/02/2020 23:00,69635.881
14/02/2020 00:00,65166.98
14/02/2020 01:00,62027.949
14/02/2020 02:00,59900.213
14/02/2020 03:00,58957.674
14/02/2020 04:00,58927.697
14/02/2020 05:00,60353.216
14/02/2020 06:00,61755.733
14/02/2020 07:00,66308.115
14/02/2020 08:00,71877.481
14/02/2020 09:00,74984.882
14/02/2020 10:00,77368.702
14/02/2020 11:00,77834.847
14/02/2020 12:00,75548.609
14/02/2020 13:00,78182.872
14/02/2020 14:00,80341.713
14/02/2020 15:00,80097.034
14/02/2020 16:00,78481.86
14/02/2020 17:00,73899.063
14/02/2020 18:00,72774.587
14/02/2020 19:00,76739.122
14/02/2020 20:00,76182.916
14/02/2020 21:00,76271.375
14/02/2020 22:00,74447.876
14/02/2020 23:00,71280.409
15/02/2020 00:00,67372.424
15/02/2020 01:00,64107.481
15/02/2020 02:00,61952.279
15/02/2020 03:00,60818.509
15/02/2020 04:00,60109.762
15/02/2020 05:00,59504.544
15/02/2020 06:00,58159.034
15/02/2020 07:00,60700.896
15/02/2020 08:00,64575.962
15/02/2020 09:00,67197.788
15/02/2020 10:00,69056.871
15/02/2020 11:00,69602.385
15/02/2020 12:00,69030.534
15/02/2020 13:00,69453.843
15/02/2020 14:00,69732.185
15/02/2020 15:00,69510.707
15/02/2020 16:00,69393.24
15/02/2020 17:00,69105.244
15/02/2020 18:00,72033.035
15/02/2020 19:00,76607.463
15/02/2020 20:00,75573.937
15/02/2020 21:00,73726.309
15/02/2020 22:00,71256.099
15/02/2020 23:00,68840.027
16/02/2020 00:00,65325.716
16/02/2020 01:00,62383.006
16/02/2020 02:00,60214.292
16/02/2020 03:00,58678.331
16/02/2020 04:00,57671.69
16/02/2020 05:00,56369.862
16/02/2020 06:00,53419.794
16/02/2020 07:00,53769.224
16/02/2020 08:00,55390.768
16/02/2020 09:00,57206.643
16/02/2020 10:00,59065.033
16/02/2020 11:00,60590.217
16/02/2020 12:00,61103.748
16/02/2020 13:00,61311.993
16/02/2020 14:00,61914.474
16/02/2020 15:00,62361.93
16/02/2020 16:00,63282.75
16/02/2020 17:00,64500.238
16/02/2020 18:00,68159.621
16/02/2020 19:00,72710.277
16/02/2020 20:00,73147.289
16/02/2020 21:00,72683.86
16/02/2020 22:00,71741.421
16/02/2020 23:00,69164.487
17/02/2020 00:00,66002.74
17/02/2020 01:00,63447.519
17/02/2020 02:00,61705.762
17/02/2020 03:00,60631.162
17/02/2020 04:00,60542.697
17/02/2020 05:00,61805.639
17/02/2020 06:00,63131.01
17/02/2020 07:00,67984.634
17/02/2020 08:00,75036.556
17/02/2020 09:00,78548.32
17/02/2020 10:00,81153.724
17/02/2020 11:00,81876.352
17/02/2020 12:00,80088.57
17/02/2020 13:00,83367.039
17/02/2020 14:00,85327.169
17/02/2020 15:00,85213.149
17/02/2020 16:00,83558.049
17/02/2020 17:00,78300.113
17/02/2020 18:00,75667.397
17/02/2020 19:00,79723.257
17/02/2020 20:00,80557.3
17/02/2020 21:00,81618.634
17/02/2020 22:00,79822.349
17/02/2020 23:00,76098.04
18/02/2020 00:00,71512.484
18/02/2020 01:00,68214.911
18/02/2020 02:00,65872.74
18/02/2020 03:00,64661.127
18/02/2020 04:00,64415.286
18/02/2020 05:00,65200.63
18/02/2020 06:00,65932.102
18/02/2020 07:00,70700.292
18/02/2020 08:00,77109.452
18/02/2020 09:00,80692.161
18/02/2020 10:00,82861.034
18/02/2020 11:00,83387.506
18/02/2020 12:00,81451.959
18/02/2020 13:00,84737.78
18/02/2020 14:00,86487.092
18/02/2020 15:00,86421.147
18/02/2020 16:00,85230.337
18/02/2020 17:00,79572.312
18/02/2020 18:00,76954.421
18/02/2020 19:00,80993.887
18/02/2020 20:00,81528.873
18/02/2020 21:00,82372.084
18/02/2020 22:00,80327.205
18/02/2020 23:00,76369.911
19/02/2020 00:00,71725.781
19/02/2020 01:00,68097.647
19/02/2020 02:00,65987.032
19/02/2020 03:00,64777.776
19/02/2020 04:00,64385.402
19/02/2020 05:00,65252.111
19/02/2020 06:00,65972.784
19/02/2020 07:00,70380.715
19/02/2020 08:00,76398.327
19/02/2020 09:00,79595.983
19/02/2020 10:00,82050.366
19/02/2020 11:00,82418.328
19/02/2020 12:00,80363.477
19/02/2020 13:00,83567.764
19/02/2020 14:00,85570.901
19/02/2020 15:00,85469.294
19/02/2020 16:00,83656.652
19/02/2020 17:00,78446.035
19/02/2020 18:00,76712.561
19/02/2020 19:00,80116.27
19/02/2020 20:00,80641.649
19/02/2020 21:00,81261.25
19/02/2020 22:00,79318.432
19/02/2020 23:00,75303.395
20/02/2020 00:00,71105.776
20/02/2020 01:00,67729.983
20/02/2020 02:00,65701.773
20/02/2020 03:00,64531.295
20/02/2020 04:00,64218.789
20/02/2020 05:00,65205.169
20/02/2020 06:00,65975.661
20/02/2020 07:00,70160.434
20/02/2020 08:00,76011.001
20/02/2020 09:00,78868.775
20/02/2020 10:00,81318.731
20/02/2020 11:00,81509.172
20/02/2020 12:00,79541.273
20/02/2020 13:00,82468.314
20/02/2020 14:00,84421.326
20/02/2020 15:00,84061.141
20/02/2020 16:00,82942.889
20/02/2020 17:00,78304.879
20/02/2020 18:00,76262.194
20/02/2020 19:00,79943.303
20/02/2020 20:00,79917.088
20/02/2020 21:00,80490.497
20/02/2020 22:00,78192.497
20/02/2020 23:00,74422.819
21/02/2020 00:00,70591.556
21/02/2020 01:00,67343.648
21/02/2020 02:00,65105.409
21/02/2020 03:00,63908.083
21/02/2020 04:00,63815.364
21/02/2020 05:00,64800.899
21/02/2020 06:00,65938.885
21/02/2020 07:00,69889.652
21/02/2020 08:00,75137.798
21/02/2020 09:00,77598.951
21/02/2020 10:00,79412.913
21/02/2020 11:00,79162.288
